Province/State,Country/Region,Lat,Long,date,USstate,Province/State_Agg,dataIsCurrent,Confirmed,Deaths,Recovered
"Adams, IN",US,39.8522,-77.2865,2020-01-22,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-23,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-24,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-25,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-26,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-27,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-28,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-29,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-30,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-01-31,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-01,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-02,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-03,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-04,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-05,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-06,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-07,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-08,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-09,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-10,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-11,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-12,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-13,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-14,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-15,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-16,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-17,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-18,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-19,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-20,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-21,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-22,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-23,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-24,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-25,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-26,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-27,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-28,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-02-29,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-03-01,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-03-02,IN,Indiana,False,0,0,0
"Adams, IN",US,39.8522,-77.2865,2020-03-03,IN,Indiana,False,0,0,0
